name,ori_price,disc_price,disc,region,platforms,review,img,link
Grand Theft Auto V Enhanced (PC) Rockstar Games Launcher Key GLOBAL,"Rp 188.584,55",,,Global,Rockstar Games Launcher,5121,https://imgproxy.eneba.games/rx3qzhF6ncw4ymmSaHvKTh3E3Dmbckfa66VoS6IEtW0/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9V/MUFTVl9qNEhHdzVJ/WThtV0lwVXN4dmdU/NXl5VnpCR0dHRkdV/NzJqMWxvLmpwZw,/id-id/rockstar-social-club-grand-theft-auto-v-enhanced-pc-rockstar-games-launcher-key-global
Minecraft: Java & Bedrock Edition (PC) Official website Key GLOBAL,"Rp 594.403,74","Rp 265.714,84",-55%,Global,Windows Store,99607,https://imgproxy.eneba.games/HFctKs2s7yb7zhAs0t_IixbCiF7Ewpe_gj15SCBhQMY/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy93/NV9aR2wxaHJ2Unpu/THpTVlhUZW4yUjlZ/eE5SRkd3M0JZUk5Q/UlRQejJFLnBuZw,/id-id/other-minecraft-java-bedrock-edition-pc-official-website-key-global
Grand Theft Auto V: Premium Online Edition Rockstar Games Launcher Key GLOBAL,"Rp 600.990,61","Rp 188.584,55",-69%,Global,Rockstar Games Launcher,140494,https://imgproxy.eneba.games/TXXnT0z8tVRmLfaLrcvbsHFCyN0qK_AADSdEHPl_Bog/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9t/S2xCenNtRmZweTRT/aW9oWVp1MHd4ZzdT/NWpWWmItX0lGN0Q5/Z0VzVmhFLmpwZWc,/id-id/rockstar-social-club-rockstar-social-club-grand-theft-auto-v-premium-online-edition-rockstar-games-launcher-key-global
Minecraft: Java & Bedrock Edition (PC) Windows Store Key GLOBAL,"Rp 264.531,26",,,Global,Windows Store,25031,https://imgproxy.eneba.games/HFctKs2s7yb7zhAs0t_IixbCiF7Ewpe_gj15SCBhQMY/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy93/NV9aR2wxaHJ2Unpu/THpTVlhUZW4yUjlZ/eE5SRkd3M0JZUk5Q/UlRQejJFLnBuZw,/id-id/windows-store-minecraft-java-bedrock-edition-pc-windows-store-key-global
Red Dead Redemption 2 Rockstar Games Launcher Key GLOBAL,"Rp 1.202.582,61","Rp 236.125,22",-80%,Global,Rockstar Games Launcher,27381,https://imgproxy.eneba.games/5KH5PbydU4nJtjaRRk0gcH66cO7QPLdfQy9kGnid5k4/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9n/SkpWQXdzMkNGeklr/RnQyQUZLLU45em9T/SjZYOE8xTklBUUI5/bkZIQnpVLmpwZWc,/id-id/rockstar-social-club-red-dead-redemption-2-pc-rockstar-key-global
Days Gone Steam Key GLOBAL,"Rp 579.000,00","Rp 219.949,56",-62%,Global,Steam,26292,https://imgproxy.eneba.games/HoaxYHRm2y_YKu7YBRY2Q7fN6Wbqf7huXBPvaDTXd60/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9i/d0Y5NlM2SW1iTC00/bDlnUnlvOE52ZC1v/V2NiR0l0V3lmYU1D/XzBBN3NrLmpwZWc,/id-id/steam-days-gone-steam-key-global
The Great Ace Attorney Chronicles Steam Key GLOBAL,"Rp 519.000,00","Rp 192.135,31",-63%,Global,Steam,1891,https://imgproxy.eneba.games/NOrFk7Uk4oS6LUA9P7-lTsGIy2n7O91kfvS8gb_6zoY/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy81/OGJ1bmRaVHZlNEtn/STNyLXhpMzdYZlg5/TEdkbW5VRU4tY2pP/MEY0OTFRLmpwZWc,/id-id/steam-the-great-ace-attorney-chronicles-steam-key-global
1 Random Steam key - RED - Steam Key GLOBAL,"Rp 90.741,52",,,Global,Random Steam Key,3546,https://imgproxy.eneba.games/6iBi9em8s8MXJ0QvOe1YAacLYBAKAwiG9lfibZPdA_s/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9W/RzNONEtlN0NBNnot/U0VYTHBYR3l1V2lo/aGhSOEpUWGlPdldT/RVplcWM4LmpwZw,/id-id/steam-1-random-steam-key-red-steam-key-global
Project Zomboid Steam Gift GLOBAL,"Rp 389.272,75","Rp 100.604,73",-74%,Global,Steam Gift,4218,https://imgproxy.eneba.games/3QpOeUJy9V_krSnOa3d8lWhc1KvPo67iRTfMMw9knRE/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9p/V3kzOVp1cThUTTN1/eWFGQ2wwU2c0U29L/U2dIYTdwdC0xV0ly/VF9Kd3RzLmpwZw,/id-id/steam-gift-project-zomboid-steam-gift-global
Ready or Not Steam Key (PC) GLOBAL,"Rp 373.026,56",,,Global,Steam,10198,https://products.eneba.games/resized-products/Q0xfusyYHwCtr4fsF-lpP2TrjnGQz8PG5M_8gVG2Hh4_350x200_1x-0.jpg,/id-id/steam-ready-or-not-pc-steam-key-global
